id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
958,"Bright, Modern Garden Unit - 1BR/1BTH",1169,Holly,,Western Addition,37.77028,-122.43317,Entire home/apt,160,2,291,2021-07-29,3.50,1,129
5858,Creative Sanctuary,8904,Philip And Tania,,Bernal Heights,37.74474,-122.42089,Entire home/apt,235,30,111,2015-08-28,0.78,1,365
7918,A Friendly Room - UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76555,-122.45213,Private room,56,32,19,2020-03-06,0.17,9,365
8142,Friendly Room Apt. Style -UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76555,-122.45213,Private room,56,32,8,2017-08-12,0.10,9,365
8339,Historic Alamo Square Victorian,24215,Rosy,,Western Addition,37.77564,-122.43642,Entire home/apt,895,7,28,2019-06-28,0.19,2,365
8739,"Mission Sunshine, with Private Bath",7149,Ivan & Wendy,,Mission,37.7603,-122.42197,Private room,169,13,735,2020-03-12,7.31,2,169
10251,Victorian Suite in Inner Mission,35199,Roman & Sarah,,Mission,37.75831,-122.41386,Entire home/apt,150,30,338,2021-05-30,2.98,1,348
10578,Classic Nob Hill Studio - Roof Deck,37049,Andrew,,Nob Hill,37.79249,-122.41499,Entire home/apt,120,30,18,2015-05-17,0.16,1,360
10820,Haight Buena Vista Park Garden 3BR,38836,Bernat,,Haight Ashbury,37.77025,-122.43836,Entire home/apt,170,30,37,2018-09-08,0.38,28,339
10824,Victorian House in Hayes Valley - 3BED-2BA,38836,Bernat,,Western Addition,37.77424,-122.42441,Entire home/apt,166,30,15,2019-08-18,0.13,28,184
10832,Union Square Modern Loft,38836,Bernat,,Downtown/Civic Center,37.78527,-122.40861,Entire home/apt,101,30,20,2019-11-12,0.33,28,337
12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76901,-122.44701,Private room,65,32,6,2018-09-20,0.10,9,365
12042,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76932,-122.44723,Private room,65,32,5,2015-10-18,0.05,9,365
12522,Perfectly located Castro,18431,Brenda,,Castro/Upper Market,37.76237,-122.42992,Private room,79,3,427,2020-02-18,6.12,1,0
18231,Loft-like Apt./Garden (monthly only available),70224,Arlene Helfand,,Noe Valley,37.74916,-122.42971,Entire home/apt,84,30,64,2021-07-31,0.65,1,250
21334,Studio loft on top of Russian Hill,81455,Joe,,Nob Hill,37.7962,-122.41562,Entire home/apt,130,30,120,2021-07-09,2.31,1,329
23630,Castro Guest Suite With Continental Breakfast,93257,Daniel,,Castro/Upper Market,37.75818,-122.44153,Entire home/apt,155,3,412,2020-03-17,4.88,1,215
24463,"Potrero Hill ""Nest"" Quiet, Comfy & Convenient",99128,Cathryn,,Potrero Hill,37.75565,-122.40125,Private room,164,2,311,2021-07-16,2.84,2,163
24723,Guest Suite in PacHeights,100800,Cynthia,,Pacific Heights,37.78897,-122.43376,Entire home/apt,202,5,345,2021-07-31,2.64,2,32
25094,San Francisco's Luxury Oasis Private Room On Noe,103339,Bruce,,Glen Park,37.74159,-122.43159,Private room,160,5,45,2021-07-17,1.75,1,337
25662,"Convenient, quiet, private",106005,Gayle,,Potrero Hill,37.76234,-122.39536,Private room,136,4,325,2021-07-31,2.67,1,225
27028,Secret Mission Garden,7149,Ivan & Wendy,,Mission,37.76005,-122.42208,Private room,229,1,26,2019-11-21,0.35,2,0
29373,Sunny house with garden,126263,Cecilia,,Bernal Heights,37.73871,-122.41167,Entire home/apt,172,4,17,2020-01-21,0.27,2,0
29557,gigi's bed and breakfast,126036,Gigi,,Outer Richmond,37.77885,-122.50534,Entire home/apt,175,2,81,2021-07-31,0.83,1,264
32414,"Cozy, Sunny and Private Space",140251,Lisa,,Bernal Heights,37.74038,-122.41327,Entire home/apt,150,30,94,2019-09-29,1.05,1,246
33578,Potrero Hill Garden Lookout,145258,Kepa,,Potrero Hill,37.76451,-122.39643,Entire home/apt,270,1,618,2021-08-01,6.90,2,323
39174,Bette's New Place,127367,Annette,,Mission,37.74918,-122.42478,Entire home/apt,107,30,21,2019-09-30,0.20,14,356
39418,"Comfortable Home Base, Bernal Heights",169184,Therese And Nelson,,Bernal Heights,37.741,-122.42018,Entire home/apt,73,60,22,2019-08-20,0.29,2,307
40092,Cute Private Apt in the hip Mission,172182,Brian & Leah,,Mission,37.7617,-122.41887,Entire home/apt,106,30,97,2019-03-19,0.86,2,291
41172,Sue's Place in Bernal Heights,53314,Sue,,Bernal Heights,37.74132,-122.41818,Private room,129,3,267,2021-07-04,2.23,1,348
41423,Guest Cottage - SF,180715,Dana,,Glen Park,37.7369,-122.43451,Entire home/apt,125,30,152,2021-05-02,1.38,1,326
41609,Spacious Quiet SF Downtown Retreat,54299,Peter,,Downtown/Civic Center,37.78887,-122.41306,Entire home/apt,140,30,21,2021-07-03,0.16,1,272
42577,Garden View Hideaway - PET FRIENDLY,127367,Annette,,Potrero Hill,37.75454,-122.38698,Entire home/apt,150,30,2,2017-08-20,0.02,14,347
44032,The Mission-100% Private,98733,David + Tina,,Mission,37.75158,-122.41158,Entire home/apt,94,30,292,2021-04-27,2.69,1,136
44680,Cute Noe/Mission Apartment,196626,Paul,,Mission,37.75131,-122.42167,Entire home/apt,150,60,3,2010-10-04,0.02,1,173
47486,Easy parking & nearby public transp. Beautiful,215133,Richard,,Ocean View,37.72377,-122.46962,Entire home/apt,78,30,34,2020-12-05,0.79,1,147
47682,One-bedroom apt.  Lafayette Park,216682,Jay,,Pacific Heights,37.79186,-122.42429,Entire home/apt,116,30,30,2021-05-27,0.23,9,338
51557,Centrally Located Victorian Apartment,237200,Len,,Western Addition,37.7714,-122.42935,Entire home/apt,125,31,108,2020-09-20,0.86,1,240
51773,Prime Location - Small Cozy Room,216682,Jay,,Pacific Heights,37.79373,-122.42507,Private room,43,30,164,2021-07-18,1.92,9,329
53280,Large & sunny room with bath + yard,126263,Cecilia,,Bernal Heights,37.73805,-122.41165,Private room,95,3,145,2019-12-15,1.23,2,276
54518,Financial District Corporate Condo,255971,Kathy,,Financial District,37.79337,-122.40198,Entire home/apt,169,30,19,2019-11-22,0.15,1,299
54634,Studio Apartment Lafayette Park,216682,Jay,,Pacific Heights,37.79352,-122.42649,Entire home/apt,96,30,44,2021-07-01,0.79,9,348
55632,"❤️Stunning Luxury Apt, 5 star reviews, Laundry,",262875,Paul & Debbie,,Outer Richmond,37.77927,-122.48432,Entire home/apt,125,30,13,2021-03-28,0.10,2,276
55636,"❤️ Super luxury Apt, Great View,  5 Star Reviews",262875,Paul & Debbie,,Twin Peaks,37.74778,-122.44566,Entire home/apt,116,30,27,2019-04-21,0.23,2,245
56621,Prime Location - Large Private Room,216682,Jay,,Pacific Heights,37.79183,-122.42425,Private room,47,30,127,2019-08-24,1.05,9,330
56715,Downtown Rainbow: Artsy Lower Nob Hill Condo,252376,Megan,,Downtown/Civic Center,37.78605,-122.41559,Private room,125,2,98,2020-03-07,3.50,1,80
57479,Beautiful Alamo Park flat w deck,210882,Gaurav,,Western Addition,37.77434,-122.4373,Entire home/apt,160,30,153,2020-10-13,1.40,1,232
57561,"Bernal Heights Apartment, Patio + Parking",272890,Theodore,,Bernal Heights,37.74684,-122.41548,Entire home/apt,178,30,218,2021-02-28,2.21,1,307
57676,"Bartlett Gardens: Spacious, bright!",142882,Jessica And Sebouh,,Mission,37.75758,-122.42043,Private room,99,30,122,2019-09-14,2.65,2,89
58185,Quiet Home in the Trees of Forest Knolls,278102,Brooke,,Inner Sunset,37.75502,-122.45829,Entire home/apt,329,2,4,2020-07-17,0.15,1,0
59381,Ultra Panoramic View Contemporary,285168,Bill,,Russian Hill,37.80098,-122.41611,Private room,195,2,252,2021-03-30,2.11,4,54
59702,Garden Cottage Charming!,287136,Toby,,Bernal Heights,37.74188,-122.4127,Private room,150,30,192,2019-07-14,2.27,1,129
59831,Lovely quiet private room in Home,287859,Lawrence,,Outer Sunset,37.75674,-122.49178,Private room,100,60,1,2011-05-23,0.01,1,0
60365,Charming Victorian 3-Bedrms-2Baths + Free Parking!,279544,Emilie,,Western Addition,37.77034,-122.43594,Entire home/apt,425,3,220,2021-06-04,1.79,3,91
62519,Lovely Room in Charming Edwardian,304426,Abhay,,Noe Valley,37.7422,-122.42996,Private room,85,2,37,2019-03-08,0.48,2,0
62651,GORGEOUS SAN FRANCISCO HOME,185923,Agnieszka,,Mission,37.76314,-122.42468,Entire home/apt,607,3,59,2021-05-31,1.51,1,296
63247,Lovely art suite with parking and yard,290120,Anne,,Mission,37.74921,-122.41422,Entire home/apt,185,2,375,2021-07-30,3.11,2,345
64165,Great room in a fantastic location!,237691,Regina,,Marina,37.80284,-122.42839,Private room,105,30,68,2020-02-11,0.57,1,325
66119,Large garden studio  apt. near Golden Gate Park,52862,Joe,,Outer Richmond,37.77737,-122.47985,Entire home/apt,90,30,99,2021-03-30,0.82,2,336
